id,value,date
0,0.479186,2014-05-06
1,0.965208,2014-04-08
2,0.996109,2014-10-12
3,0.068946,2014-05-17
4,0.545526,2014-10-20
5,0.479687,2014-01-04
6,0.011468,2014-01-18
7,0.292216,2014-02-15
8,0.368110,2014-05-03
9,0.731183,2014-07-30
10,0.936175,2014-01-25
11,0.838298,2014-07-25
12,0.686020,2014-05-05
13,0.797064,2014-06-14
14,0.797440,2014-11-18
15,0.868730,2014-06-20
16,0.872626,2014-11-10
17,0.936595,2014-04-19
18,0.152603,2014-07-08
19,0.409265,2014-11-10
20,0.075706,2014-07-01
21,0.758950,2014-06-20
22,0.346414,2014-02-18
23,0.387188,2014-03-03
24,0.032958,2014-05-22
25,0.766540,2014-05-23
26,0.071864,2014-09-06
27,0.797125,2014-03-03
28,0.742010,2014-08-06
29,0.451080,2014-06-22
30,0.106742,2014-07-16
31,0.742764,2014-01-03
32,0.992203,2014-10-25
33,0.442615,2014-04-06
34,0.729586,2014-11-08
35,0.648138,2014-01-03
36,0.373731,2014-04-17
37,0.058227,2014-08-09
38,0.970455,2014-11-03
39,0.115507,2014-12-15
40,0.309141,2014-06-20
41,0.224874,2014-05-15
42,0.994915,2014-04-25
43,0.958589,2014-07-29
44,0.896104,2014-02-10
45,0.312925,2014-11-25
46,0.824048,2014-04-03
47,0.815887,2014-06-07
48,0.762619,2014-12-18
49,0.134358,2014-04-11
50,0.866276,2014-07-08
51,0.149376,2014-03-17
52,0.969179,2014-08-15
53,0.847506,2014-11-21
54,0.792675,2014-02-28
55,0.502675,2014-02-17
56,0.174598,2014-01-06
57,0.220280,2014-05-20
58,0.615651,2014-12-20
59,0.484395,2014-09-16
60,0.218221,2014-06-02
61,0.600115,2014-02-02
62,0.771035,2014-04-19
63,0.453267,2014-02-05
64,0.023682,2014-08-08
65,0.126535,2014-01-14
66,0.598163,2014-01-01
67,0.452186,2014-12-22
68,0.449404,2014-11-22
69,0.178587,2014-07-09
70,0.250037,2014-10-19
71,0.875057,2014-05-09
72,0.961402,2014-04-06
73,0.317195,2014-01-06
74,0.643694,2014-01-06
75,0.336834,2014-01-08
76,0.775258,2014-12-02
77,0.556202,2014-04-26
78,0.836020,2014-05-04
79,0.060238,2014-11-03
80,0.081363,2014-08-10
81,0.524809,2014-08-31
82,0.696684,2014-08-14
83,0.642645,2014-09-01
84,0.961439,2014-05-16
85,0.283592,2014-06-22
86,0.064191,2014-07-16
87,0.986605,2014-07-20
88,0.253778,2014-02-26
89,0.317675,2014-10-31
90,0.224053,2014-03-16
91,0.787338,2014-12-26
92,0.255364,2014-06-04
93,0.075727,2014-08-21
94,0.582959,2014-01-26
95,0.668997,2014-11-03
96,0.515004,2014-05-10
97,0.467696,2014-11-09
98,0.500061,2014-04-17
99,0.999948,2014-06-12
100,0.884851,2014-06-18
101,0.032871,2014-06-09
102,0.402054,2014-05-18
103,0.443075,2014-07-02
104,0.498044,2014-09-01
105,0.487550,2014-09-30
106,0.620614,2014-02-03
107,0.667528,2014-12-19
108,0.301064,2014-12-03
109,0.609802,2014-04-22
110,0.482706,2014-05-21
111,0.041527,2014-04-28
112,0.533396,2014-10-07
113,0.074018,2014-01-20
114,0.777672,2014-07-19
115,0.351897,2014-03-19
116,0.012128,2014-02-22
117,0.893221,2014-04-12
118,0.238053,2014-06-19
119,0.889442,2014-01-01
120,0.814369,2014-05-26
121,0.898818,2014-07-10
122,0.998515,2014-11-01
123,0.435793,2014-06-27
124,0.555253,2014-06-06
125,0.247065,2014-07-12
126,0.591542,2014-09-18
127,0.622124,2014-11-18
128,0.188869,2014-09-13
129,0.940144,2014-06-02
130,0.066595,2014-12-23
131,0.896343,2014-10-08
132,0.474333,2014-01-12
133,0.530164,2014-03-24
134,0.770574,2014-03-17
135,0.043280,2014-07-28
136,0.239413,2014-07-04
137,0.466243,2014-10-10
138,0.146938,2014-03-02
139,0.134886,2014-08-29
